Mortis Legend👏,#PPUQJ9C9,0.48443987001422445,0.9676015473887813
CryAlphaST,#2U0G8VCR,0.49184606680625953,0.9790135396518374
Ichiro,#JVRV9CR2,0.5047778746618373,0.950915404040404
NEGI,#8JV2Q02U,0.5579092134167728,0.9263429752066114
Shichi,#89RYUPU2Q,0.5617523367350692,0.8883728590250328
lucky est umesh,#2L98J2YR,0.4719734939281682,0.8519255050505049
maximumspider,#8P9J99LJJ,0.5015869769414901,0.9426548089591568
Maple,#8U9P2VGL,0.5098239903354083,0.9056324110671935
BlackThunder,#P0JCVJQC2,0.4666309213359005,0.9082452431289639
∆Ni†πoFμn♪,#89Q8CPPLV,0.4232095849632199,0.8778787878787877
TheSoftness,#2RYRG80V,0.5415735748591917,0.8519255050505049
Skin2Win,#299VJRVL9,0.34186840088029474,0.8414571244358476
Freston,#80UL8LVLJ,0.4074480122001785,0.8451298701298698
gersh,#C9202LJP,0.5033742821148262,0.8881481481481481
Marchel16,#8YGY22GP0,0.46289795838548187,0.8509785353535352
Kapil.K,#9RGVC88,0.4695266725385823,0.864200140944327
Hiromu,#G8PQQPRQ,0.5448112895325593,0.8608417508417509
Megalodon,#200QVGLVU,0.46439558108169543,0.9667723749119097
hemu,#8LRG9YJQ0,0.5088501815873911,0.8831485587583148
SP|Speedy,#CLLC9UV8,0.45039573962601603,0.880584918957012
DJtheMOIST,#2RVP9QQ99,0.3148402755369744,0.8406734006734005
DMoney XD,#29GCRVCCY,0.50138710612397,0.8457644628099171
glumy,#8CCV9UGGP,0.5211047203655765,0.9101584022038566
robobitxb,#9YY9YUCYY,0.4419153194365026,0.8406734006734005
dragonqw_killer,#9UPC2YQQ0,0.5398657531549167,0.8416490486257928
hilman,#V2CYQYGP,0.5122307818775396,0.8267676767676767
GYG|GABIZCOOL,#P80090P,0.47337979140459124,0.8527777777777776
TITAN,#20UJ8C0PQ,0.5106035241416274,0.8651162790697673
ᴿᶦˢᶦⁿᵍ♡ρнσєиιχツ,#PQC8QYCU,0.5178499303477666,0.8474532559638941
Sky Paws,#2RUU9VRU2,0.4072394220846233,0.8130853994490356
sean,#2C0UUYJ,0.4967052285048234,0.8229851708575111
Get Wrecked Nub,#UPG9YYQY,0.513080388080388,0.8136019283746555
DEN-O,#82JQYY92,0.47776751550336455,0.8085858585858584
LAIME🦋🦋🦋,#9829YJ898,0.5056932833669645,0.8229851708575111
Galactic KraĶen,#8000LJGLV,0.4158924914525783,0.8342268842268842
babidi,#2PYPJJQ2V,0.5073198373507856,0.8137373737373735
J 吳貽順 G,#2LCJC2P0G,0.44193903529897477,0.8116600790513833
azariscool,#UJC0Q9J2,0.46564044387069853,0.8436170212765957
BIOHAZARD YT,#U9LRLV99,0.47074154472852014,0.849647639182523
ÆGON,#2V9890LR,0.45228233744627755,0.7914361001317523
TheBest,#9GJLPUL9,0.5008424860559961,0.8178272082527401
REBOOTY,#2QLYCYGL,0.5292440121070036,0.8047258297258295
DearestEnemy,#298LCCYC,0.4600478112768063,0.8335858585858585
Lupus Rex,#289QG0L29,0.5146937489686624,0.8075112830431977
MrDiffi,#QG9GJG8L,0.5227194897478704,0.8430937279774487
95th_savage,#99LYVG02G,0.4376851083994787,0.7984848484848485
Marcus,#2RVUCUUY2,0.4414004227851502,0.85655303030303
♠️Noob|Manberg♠,#PCJCY8VV,0.4799430085009132,0.8138528138528138
Night Fury,#8Y8URG0PP,0.4948600408150833,0.8786796536796535
Cr0cL0rd,#9QQY22QPL,0.5376357522606443,0.7920373952288844
Divyansh,#8LR80RVU8,0.49161538027214724,0.7998917748917749
Chill,#2Q9U0YGJ2,0.4893696467217362,0.837052341597796
Angry P.E.K.K.A,#2JG80LYR,0.3969787078234048,0.8350951374207187
Gab,#89JGVJ,0.49312577536835306,0.8137373737373735
rumeh,#2R88VYQR9,0.5492299785238349,0.7971953578336556
Invincible😎😎,#99GRPRR28,0.503666015830707,0.8220418470418468
ŘÔČKŠŤÂŘ,#8LGR8RULY,0.50081557977803,0.8286363636363636
Бодя,#8CCVY0LR2,0.44451419045462964,0.8016873278236913
ButterMilk,#209VYPG2,0.5129244901057746,0.8114814814814815
MrKL,#R88LL9PU,0.46549635517395277,0.8205234159779613
Ace of games,#UR9VU0UV,0.4749631878009341,0.7632487667371388
SPIKE,#P0VVG2JRQ,0.4201318302223865,0.861111111111111
BELIEVE THAT,#Q9JPR0YC,0.4575929703436372,0.8253968253968254
ray,#28G0PYRYU,0.4625814842169487,0.8530303030303029
Aayush op,#PY2YQ9LVU,0.4624153972088566,0.8394348894348893
브롤스타즈,#22QPLYVLQ,0.46365872655650253,0.8034779614325067
mekanın sahibi,#20CPQUQQY,0.5020673871033909,0.8669191919191919
Myth,#CQQ20RUY,0.4535564009452994,0.7507736943907155
Seijuro,#2V92YU2,0.46329906999510523,0.8196264975334742
tjpalanca,#J9LYQCPR,0.439462776602707,0.8169301712779973
"me,myself and I",#PV2U0V2U9,0.5266682756124049,0.8227272727272726
K3ithyy,#228GY9GQQ,0.3631729236375103,0.8186868686868687
Its Chriz,#8P8P88C29,0.5113629997572408,0.8101832276250881
HiDe on BuSh,#29PLP8RUQ,0.3579521107930686,0.7905797101449274
hasankarabasan,#2C08QL8RG,0.40446688996143315,0.8261804087385481
King Attacker😎,#2PY9CUCQL,0.4855846488325929,0.7431488801054018
⚠️DASD⚠️,#9C802GLJU,0.3564579861937634,0.8007070707070707
Nico Gaming,#8RP8RCYGY,0.4719771311545354,0.7929752066115703
дэн4ик тв,#9PPQG89UQ,0.5165719875098754,0.7747694334650855
Kijiji,#UCQQRU0C,0.42807596280940385,0.7874655647382919
chicken nuggets,#PCJ982Y,0.4940504201680672,0.7801620859760394
[БАН]богбан,#2CV2LG2RU,0.3717704274779629,0.8418939393939393
(;-;),#922RRGPR,0.5321154534999906,0.7836700336700336
ЧИТЕР777,#8C0Q0YQGJ,0.45520738685199286,0.7898268398268397
honeybadger,#CGJCPJRC,0.3639438055198453,0.8590909090909089
RuveerKaul_YT,#2J0LVYJVJ,0.5053554904868743,0.760966810966811
DHANUR,#8CJ8GUC,0.5245119417151946,0.7535227272727272
NOT JOE BIDEN,#P8VLL02QR,0.4168203821086405,0.7934090909090908
Cinnabun|YT,#Q8P2CPRJ,0.48194511857863664,0.8106060606060606
Super Man,#9UPJ8LQGR,0.4998754885720163,0.7725108225108225
kinglady,#2GJUUPRGU,0.5005711395760487,0.7519732205778716
Strahl,#LY0JVGUP,0.39894460272939924,0.7323691460055095
ziglo,#UUQGY20R,0.44672027820039123,0.7244107744107743
☄T.W.I.C.E☄,#9QPYYJ0CL,0.495882089126269,0.7463354474982381
pro killer,#29UGRLUR8,0.5538068334678504,0.8005439005439003
JoRo.,#9PU9L0LQR,0.5363630639423228,0.7658508158508157
WolvesKing,#G2PLCQCV,0.53068239815065,0.7147907647907649
oela boegla,#GQUVJ92,0.5913823703411556,0.7621212121212121
MASTERKILLER,#PYYLCCVRU,0.5323801162255947,0.7984326018808776
好感唔代表鍾意,#PR2009089,0.5142724659185756,0.7634135472370766
SuperakaayKT,#VR8GU2CC,0.5100459654540884,0.7654269972451789
master kurt,#9LLRR9CRG,0.45754291165417144,0.8702356902356903
Bleepy,#VJPJRPLQ,0.5078277447572054,0.8127066115702478
KARTIK,#2PGY028QQ,0.43604876160990713,0.9004611330698287
Angel Gabriel,#8LQCU9L8C,0.4876817933990135,0.840254820936639
THICC,#YR0P9QJ8P,0.504566068211468,0.807142857142857
ᴿᴱᴹᴵ,#9QR98GL8U,0.4884162515982519,0.8562015503875969